Country Name,2018,2019,2020,2021
United Arab Emirates,43644.14705,43785.41727,41276.05551,42535.96605
United Kingdom,47006.14293,47491.59456,42098.60293,45334.157
United States,59607.39366,60698.0113,58451.60672,61829.84563
Uruguay,17440.38215,17563.20815,16459.97818,17342.79127
Uzbekistan,3062.486222,3185.334555,3187.048974,3356.033255
Vanuatu,2815.587152,2838.988278,2634.243892,2589.421173
Vietnam,3090.772241,3288.353073,3352.060157,3409.024717
Yemen,1194.820559,1182.507094,1057.281671,1024.569905
Zambia,1331.449244,1310.622224,1237.283303,1257.934757
Zimbabwe,1462.590279,1342.989586,1213.117057,1289.199067
